,other_info,data_non_statistical,national_geographical_coverage,reporting_status,proxy_indicator,only_uk_data,geo_disag
13-2-2,"<p>Figures shown here do not include data for the Crown Dependencies and Overseas Territories, however, those data are available in the <a href=""https://www.gov.uk/government/collections/final-uk-greenhouse-gas-emissions-national-statistics)"">UK greenhouse gas emissions final figures</a>. See the <a href=""https://www.gov.uk/government/publications/uk-greenhouse-gas-emissions-explanatory-notes"">UK greenhouse gas emissions</a> background quality report for information on quality and methodology.<p></p>The figures presented here do not include estimates of emissions outside the UK associated with UK consumption, however the Department for Environment, Food and Rural Affairs (DEFRA) publishes estimates of the <a href=""https://www.gov.uk/government/statistics/uks-carbon-footprint"">UK’s carbon footprint</a> annually. Emissions as measured by the <a href=""https://www.ons.gov.uk/economy/environmentalaccounts"">UK Environmental Accounts</a>, published by the Office for National Statistics (ONS) measure greenhouse gas emissions on what is referred to as a “residents” basis. This means that the figures represent emissions caused by UK residents and industry whether in the UK or abroad, but exclude emissions within the UK that can be attributed to overseas residents and businesses.  The <a href=""https://www.gov.uk/government/statistics/final-uk-greenhouse-gas-emissions-national-statistics-1990-to-2019"">Final UK greenhouse gas emissions national statistics - 1990 to 2019</a> statistical release includes an outline of the differences between the three approaches.<p></p>Uncertainty levels for the UK estimates shown here can be found in table 4.1 of the <a href=""https://www.gov.uk/government/collections/final-uk-greenhouse-gas-emissions-national-statistics"">UK greenhouse gas emissions final figures</a>.</p> Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,False
2-1-2,"<p>Data presented here come from the Food and You Survey run by the Food Standards Agency. This includes a suite of food insecurity questions developed by the US Department of Agriculture (USDA). Data is available for England, Wales and Northern Ireland.</p><p>Fieldwork for Wave 4 of the Food and You Survey was conducted between 27 May and 30 September 2016. Fieldwork for Wave 5 was conducted between 18 June and 31 December 2018.</p> This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,"England, Wales and Northern Ireland",complete,True,False,True
8-2-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,
3-9-3,"The ICD-10 codes corresponding to the indicator include X40, X43-X44, X46-X49. Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,England and Wales,complete,False,False,True
2-1-1,"This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has not been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,False
15-c-1,"For further information please see UNEP checklist of CITES species @ http://checklist.cites.org/#/en This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has not been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,False
11-b-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,True,,complete,False,False,
15-3-1,,False,,notstarted,False,False,
16-4-1,,False,,notstarted,False,False,
3-7-1,"<p>Data is not representative of the uptake of contraception methods across the whole population. Contraceptives can be obtained from other sources such as GPs or direct from pharmacies, whilst non-prescription items like condoms can be obtained easily without a visit to a medical specialist.</p><p>For analysis of contraception methods it is encouraged that data be presented as proportions rather than numbers. This is because the level of SRH service provision is constantly changing.</p><p>Excludes women where no main method of contraception was recorded during the year.</p><p>Data by local authority will be partly dependent on where services are located. In local authorities where few or no services are located, fewer contacts by residents of those areas would be expected.</p> This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,England,complete,True,False,True
16-6-2,"<p>Data are collected from the Eurofound 'European Quality of Life Survey'.</p><p> Income is presented by income quartiles (from lowest income quartile 1 to highest income quartile 4), which were calculated based on equivalised income in PPP euros for the respondents who provided this information. Cases with missing values (for example when asked for respondents perceived quality of services, they answered ""don't know"", or refused to answer spontaneously) have been included in the calculations where the respondent has rated at least three services. Where there were fewer than fifty responses from a group, the results are not shown.</p> This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,True
17-14-1,"The achieved score for each category was judged based on various information from the linked sources (see Sources tab). In some cases the sources provide exact information, such as details for dedicated budgets towards various programmes and projects, which provides a score towards category 1. Institutionalized political commitment synthesised generic information (see UN metadata for a detailed breakdown of scoring within each category). In other cases the linked sources provide an initial starting point and specific named policies can be followed up (available in footnotes within the documents) to find out the required information. The Agenda 2030 and the Voluntary National Review sources summarise most of the main contributions towards the policy coherence categories, and provide information that can be followed up for more detail. The Single Departmental Plans sources provide more specific information on how individual UK Government departments have embedded the Goals. More specific links how different Government departments are committed to each goal can be found in the [Implementing the Sustainable Development Goals](https://www.gov.uk/government/publications/implementing-the-sustainable-development-goals/implementing-the-sustainable-development-goals--2) corporate report. This indicator will be updated every two years, but there may be in-between revisions intoduced if more accurate data is established. Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,False
15-4-1,,False,,notstarted,False,False,
6-b-1,Data follows the UN specification for this indicator.,True,,complete,False,False,
17-3-2,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,
3-1-2,"This indicator is a proxy indicator. We are reporting data on births occurring within medical facilities and have not included home births. Home births will on many occasions have a skilled health professional present. There will be some home births which occur without a midwife but an ambulance is sent, arriving just before or soon after the birth.  We have included data from NHS medical facilities - (generally) hospitals, maternity units and maternity wings and non-NHS medical facilities including - private maternity units, military hospitals, private hospitals and communal establishments.  This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,England and Wales,complete,True,False,True
16-10-2,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,True,,complete,False,False,
8-3-1,"This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,True
8-4-2,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,False
3-2-2,"The headline figures for this indicator cover the United Kingdom however the disaggregation for this indicator do not cover England, Wales, Scotland and Northern Ireland they only cover England and Wales jointly. The exception to this is when regions of England and the regions of Wales are specified. Although the headline figures go back to 2000 for neonatal, early neonatal, post neonatal, and infant other disaggregation for the indicator only go as far back as 2008.   The disaggregation of socio-economic status is only shown by type of marital status and type of registration. The classification used for socio-economic status is the National Statistics Socio-economic Classification. Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,True
12-8-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,True,,complete,False,False,
10-5-1,,False,,notstarted,False,False,
12-2-2,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,False
5-6-1,"Please note - This analysis is not representative of the uptake of contraception methods across the whole population. Contraceptives can be obtained from other sources such as GPs or direct from pharmacies, whilst non-prescription items like condoms can be obtained easily without a visit to a medical specialist. This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has not been identified in collaboration with topic experts.",False,England,complete,True,False,False
17-7-1,,False,,notstarted,False,False,
10-3-1,"<p>A reliable estimate for transgender-identity cannot be produced due to small numbers in the survey  and are therefore not reported.</p><p>For details of the Crime Survey for England and Wales, see the <a href= 'https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/methodologies/crimeandjusticemethodology'>user guide</a>  to crime statistics for England and Wales.</p><p>Ethnic group is based on the 2011 Census definition of ethnic group which now includes Chinese in the Asian/Asian British group. For more information see section 7.3 of the <a href= 'https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/methodologies/crimeandjusticemethodology'>user guide.</a></p><p>The Washington Group on Disability Statistics are often used to provide a cross-nationally comparable population-based measures of disability. Please see the article <a href=""https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/disability/articles/measuringdisabilitycomparingapproaches/2019-08-06"">Measuring disability - comparing approaches</a> for a comparison between the GSS Harmonised measure (used here) and the Washington Group measure.</p> Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,England and Wales,complete,False,False,False
17-8-1,"<p>Employment status categories are based on the International Labour Organisation (ILO) standard definitions of employment, unemployment and economic activity and inactivity. Inactive refers to looking after family, a disability or other reasons for being economically inactive.</p><p>The lower geographic areas are based on the <a href='https://www.ons.gov.uk/methodology/geography/geographicalproducts/namescodesandlookups/namesandcodeslistings/namesandcodesforeurostatgeography'>NUTS Classification - level 3.</a> The NUTS Classification is a hierarchical system dividing up economic territory of the EU for the purpose of regional statistics.</p><p>The Washington Group on Disability Statistics are often used to provide a cross-nationally comparable population-based measures of disability. Please see the article <a href=""https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/disability/articles/measuringdisabilitycomparingapproaches/2019-08-06"">Measuring disability - comparing approaches</a> for a comparison between the GSS Harmonised measure (used here) and the Washington Group measure.</p> Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,True
2-a-2,"Figures may not sum to totals due to roundings.  In the CRS (Creditor Reporting System), data on the sector of destination are recorded using 5-digit purpose codes.  The first three digits of the code refer to the corresponding DAC5 sector or category.  Each CRS code belongs to one and only one DAC5 category.  Generally, the last two digits of the CRS purpose code are sequential and not hierarchical i.e., each CRS code stands for itself and can be selected individually or grouped to create sub-sectors. The Governance and civil society, general sector is an exception where purpose codes are hierarchically structured.   It is not possible to track directly the destination or purpose of UK funding to the general core budgets of the multilateral organisations. However a good indication of where UK funding goes is provided by OECD DAC data where the multilaterals report aid spend by country and sector. Therefore the multilateral data are estimates which have been calculated on the basis of the UK's share of the multilaterals' reported aid spending to the OECD.  The OECD data cover most of the main multilaterals the UK funds.  About 15% of the UK's core multilateral funding is not covered by the OECD data, and this unreported spending is allocated to the developing countries unspecified category.   More details on the estimates' quality are found in the Imputed multilateral share quality report (Statistics on International Development 2016). Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,False
15-5-1,"<p>The Red List Index reported here is based on global classifications for each species. In other words this Index does not indicate risk of extinction within the UK, but rather, risk of global extinction of species found within the UK. More detailed information on trends in UK Biodiversity, including information on the National Red List can be found in the <a href=""https://nbn.org.uk/stateofnature2019/reports/"">State of Nature Report</a>.</p><p> More information on the data presented here, including confidence intervals, taxonomic groups of species assessed, and threats can be found on the <a href=""https://www.ibat-alliance.org/country_profiles/GBR"">IBAT (Integrated Biodiversity Assessment Tool) UK Country Profile</a> under the Species tab.</p><p>Data for the UK including the overseas territories are available on the <a href=""https://www.iucnredlist.org/search?query=red%20list%20index&searchType=species"">IUCN Red List site</a>.</p><p> The Red List Index is based on quantitative objective categories and criteria. To avoid spurious results from biased selection of species, the Red List Index is calculated from taxonomic groups for which all species have been assessed and reassessed, and, for taxonomic groups that that do not fulfil this criteria, species that are representatively sampled. Changes between categories reflect geniune improvement or deterioration in status, not as a consequence of changes in taxonomy or knowledge.</p><p>The Red List Index is calculated on an annual basis, however, this does not reflect re-assessment of all species, as species are not assessed every year. The full methodology, and information on limitations can be found in the <a href=""https://unstats.un.org/sdgs/metadata/files/Metadata-15-05-01.pdf"">global metadata</a> and references therin.</p><p>  Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,
1-2-1,"This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,False
8-5-2,"<p>The figures for unemployment and economically active individuals are measured for the ages 16 and above.</p><p>Nationality is available alongside country of birth from the source (see Sources tab).</p><p>The Washington Group on Disability Statistics are often used to provide a cross- nationally comparable population-based measures of disability. Please see the article <a href=""https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/disability/articles/measuringdisabilitycomparingapproaches/2019-08-06"">Measuring disability - comparing approaches</a> for a comparison between the GSS Harmonised measure (used here) and the Washington Group measure.</p> <p>For not seasonally adjusted data, it is best practice to only compare the same quarter for different years (e.g., compare January-March 2018 with January-March 2019 but do not compare July-September 2018 with January-March 2019).</p> Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,True
14-3-1,,False,,notstarted,False,False,
3-8-1,,False,,notstarted,False,False,
16-a-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,True,,complete,False,False,
3-3-2,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,True
14-1-1,Data follows the UN specification for this indicator. This indicator has not been identified in collaboration with topic experts.,False,,notstarted,False,False,
5-2-2,"<p>For details of the Crime Survey for England and Wales, see the <a href='https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/methodologies/crimeandjusticemethodology'>user guide to crime statistics for England and Wales.</a></p><p>The year format refers to the two years covered by the data, from April of the first year to March of the following year. For example, 2018/19 covers the period of April 2018 to March 2019.</p><p>For further information on the quality of the estimates please refer to the source data which provides the unweighted base sizes of the samples.</p><p>The sample size is lower between 2010/11 and 2012/13, and between 2017/18 and 2018/19 due to use of a split-sample experiment in these years. The methodological note titled <a href='http://webarchive.nationalarchives.gov.uk/20160106010543/http:/www.ons.gov.uk/ons/guide-method/method-quality/specific/crime-statistics-methodology/methodological-notes/split-sample-for-intimate-personal-violence-2013-14.pdf'>Split sample for intimate personal violence 2013-14</a> provides further information.</p><p>The Crime Survey for England and Wales includes a 'Nature of serious sexual assault' module where detailed data on sexual violence is collected every 3 years. This module was last included in the 2016/17 survey. Therefore detailed breakdowns such as 'place of occurrence' and 'relationship with the perpetrator' are available for 2016/17 only. This module is only asked of respondents who have experienced rape or assault by penetration (including attempts) since the age of 16.</p><p>The Washington Group on Disability Statistics are often used to provide a cross-nationally comparable population-based measures of disability. Please see the article <a href=""https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/disability/articles/measuringdisabilitycomparingapproaches/2019-08-06"">Measuring disability - comparing approaches</a> for a comparison between the GSS Harmonised measure (used here) and the Washington Group measure.</p> This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,England and Wales,complete,True,False,True
15-a-1,"Figures may not sum due to rounding.  This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has not been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,False
3-b-3,,False,,notstarted,False,False,
3-b-1,"<p>NHS Digital provides an <a href=""https://app.powerbi.com/view?r=eyJrIjoiZTI3NWZhNzItMTIyZS00OWM2LTg0MzMtOGY5YTJjMGY0MjI1IiwidCI6IjUwZjYwNzFmLWJiZmUtNDAxYS04ODAzLTY3Mzc0OGU2MjllMiIsImMiOjh9"">interactive dashboard</a> that includes maps and time series for Local Authority childhood vaccinations.</p><p>Please refer to the <a href=""https://digital.nhs.uk/data-and-information/publications/statistical/nhs-immunisation-statistics/england-2018-19"">original sources</a>, the <a href=""https://files.digital.nhs.uk/10/321640/child-vacc-stat-eng-2018-19-quality.pdf"">quality statement for childhood vaccinations</a> and the <a href=""https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/849992/HPV_2017_2018_annual_report.pdf"">HPV annual report</a> for details on data collection (links are for 2018/2019 data, though previous years quality statements are also available).</p><p>Figures for the HPV vaccination are given for females only. HPV vaccination for males in the UK started in September 2019. </p><p>In September 2014 the routine HPV programme was changed from a three to two-dose schedule. The recommendation was to offer the first (priming) HPV vaccine dose in Year 8 (aged 12 to 13 years) and the second dose in Year 9 (aged 13 to 14 years), previously all three doses had been offered in year 8. However, in some areas the second dose was scheduled within the same school year, from six months after the first dose. Consequently, for the first year of the two-dose programme (2014/15) national-level data are only available for the priming dose, and are therefore not included in the chart above. National coverage for the completed course of HPV vaccination for the first cohort offered the two-dose schedule was published in 2015/16.</p><p>All figures shown are rounded to 1 decimal place.</p><p>Please see the source data for caveats, full defintions, notes and figures to more decimal places.</p><p> Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,True
4-2-1,"This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,England,complete,True,False,True
4-7-1,"This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",True,,complete,True,False,
9-5-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,True
16-2-3,"The Crime Survey for England and Wales (CSEW) included a 'Child abuse during childhood' module for the first time in 2015/16. Detailed data on child abuse is collected every 3 years. While 2015/16 data is available on the [ONS website](https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/adhocs/008191proportionofadultsaged18to29yearswhoexperiencedabuseasachildbeforetheageof16byoffencetypeyearendingmarch2016csew), the data is not reported here due to changes in the definitions of abuse and the introduction of non-contact sexual abuse. Therefore the data is not directly comparable. Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,England and Wales,complete,False,False,False
5-b-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,True
10-7-2,Data follows the UN specification for this indicator.,True,,notstarted,False,False,
5-a-1,"This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has not been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,False
5-c-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,True,Great Britain,complete,False,False,
16-4-2,,False,,notstarted,False,False,
16-1-3,"<p>For details of the Crime Survey for England and Wales, see the <a href='https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/methodologies/crimeandjusticemethodology'>user guide to crime statistics for England and Wales.</a></p><p>The year format refers to the two years covered by the data, from April of the first year to March of the following year. For example, 2018/19 covers the period of April 2018 to March 2019.</p><p>For further information on the quality of the estimates please refer to the source data which provides the unweighted base sizes of the samples.</p><p>Data based on sexual violence - The sample size is lower between 2010/11 and 2012/13, and between 2017/18 and 2018/19 due to use of a split-sample experiment in these years. The methodological note titled <a href='http://webarchive.nationalarchives.gov.uk/20160106010543/http:/www.ons.gov.uk/ons/guide-method/method-quality/specific/crime-statistics-methodology/methodological-notes/split-sample-for-intimate-personal-violence-2013-14.pdf'>Split sample for intimate personal violence 2013-14</a> provides further information. This does not affect data based on physical violence.</p><p>Figures on physical violence are based on the population aged 16 and above. Figures on sexual violence are based on the population aged 16 to 59.</p><p>The Washington Group on Disability Statistics are often used to provide a cross-nationally comparable population-based measures of disability. Please see the article <a href=""https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/disability/articles/measuringdisabilitycomparingapproaches/2019-08-06"">Measuring disability - comparing approaches</a> for a comparison between the GSS Harmonised measure (used here) and the Washington Group measure.</p> Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,England and Wales,complete,False,False,True
17-11-1,"The trade figures used for the calculation of this indicator are subject to revision aligned with National Accounts policy. This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,False
10-1-1,"Throughout this analysis, the primary data source used to derive measures of both income and expenditure in the UK is the Living Costs and Food Survey (LCF). The LCF is an annual survey of the expenditure and income of private households; people living in hotels, lodging houses and institutions such as old people’s homes are excluded. It is the only data source to collect detailed data on both income and expenditure, thereby allowing analysis of the two measures. As with all surveys, there are some limitations to be aware of. The LCF is known to not fully capture those at the poorest and richest ends of income distribution and suffers from non-response error . When analysing inequalities, this can impact on the representation of the target population (in this case, the bottom 40%) and the overall appearance of income distribution. In international comparisons, data has been sourced from the World Bank, and data for the UK comes from Eurostat’s  European Union Statistics on Income and Living Conditions (EU-SILC). The EU-SILC collects data on poverty, income, social exclusion and living conditions. In the international analysis, the total population and the target population (bottom 40%) are defined on a household level, before housing costs (BHC). Eurostat sets the reference year at T-1 from the survey year, therefore 2009 reference year will refer to 2010 survey data. In addition, data from the World Bank is from 91 countries. Not all these countries will have annual surveys, therefore the reference years for the annualised growth rates are labelled at circa 2010 to 2015. The annualised growth rate is computed as - (mean in year 2/mean in year 1)^(1/(reference year 2 – reference year 1)). Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,False
3-9-2,"Data rely on (a) statistics on WASH services (6.1, 6.2 and 6.3), which are well assessed in almost all countries, and (b) data on deaths. Data on deaths are also widely available from countries from death registration data or sample registration systems, which are certainly feasible systems. Such data are crucial for improving health and reducing preventable deaths in countries. The main limitation is that not all countries do have such registration systems to date, and data need to be completed with other type of information. Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,True
16-5-1,"These experimental statistics are based on police recorded crime. As with other types of crime, it is recognised that the recorded crime series will not provide a good measure of the full extent of criminality as not all offences come to the attention of the police. Therefore data should be treated with caution. This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,England and Wales,complete,True,False,False
13-1-1,"For more information, please see [Mortality Statistics Quality and Methodology Information](http://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/qmis/mortalitystatisticsinenglandandwalesqmi). This document contains important information on the strengths and limitations of the data, the quality of the output including the accuracy of the data, how it compares with related data, uses and users and how the output was created. This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,England and Wales,complete,True,False,True
16-1-2,"This indicator only includes deaths as a result of hostile action and does not include indirect deaths. This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,
17-19-2,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,True,,complete,False,False,
9-3-2,,False,,notstarted,False,False,
6-4-1,,False,,notstarted,False,False,
17-12-1,"The indicator is focused on Trade in Goods. Imports are assigned to a product sector based on their 6 digit code, rather than the 8 digit code provided on the database. This is because at 8 digit level codes are frequently altered. Therefore, when mapping sectors using the most recently updated tariff schedule, import product codes from prior years will not be captured in instances where they have been updated. To overcome this, sectors are assigned to one 6 digit code only. Other caveats to consider - AVEs are calculated on the basis of trade between the UK and the EU between 2017-2018. This may not fully reflect the trading relationship between the UK and Developing nations, Least Developed nations and Small Island Developing Nations. To this end, the use of EU imports (as opposed to Rest of the World) could yield AVE inflationary effects, as EU imports are generally of higher quantity and higher price than imports from Rest of World. Where no trade has been recorded in 2017-18 between the UK-EU no AVE estimates have been derived for these goods in the sample. Additionally, missing values for both AVE rates and sectors arising from product code alterations affect the sample size. For AVEs, some of these missing values are overcome by 0% allocation where imports belong to regimes U10 (MFN Zero), U20 (GSP Zero) or U30 (Preference Zero). However, since such replacements cannot be made for non-zero tariff rate regimes, samples may contain disproportionate amounts of 0% rate tariffs, in turn, potentially yielding underestimating effects on average tariffs calculations. Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,,complete,False,False,True
3-5-1,"<p>Treatment centres from across England submitted their data to Public Health England (PHE). These treatment centres include community-based specialist drug and alcohol services, primary care services, residential rehabilition centres and inpatient units.</p><p>Double counting in the treatment figures may have occurred if individuals changed their Local Authority of residence during the year.</p><p>Data for Local Authories on the ViewIt platform are rounded to the nearest 5, so may not exactly sum to UK figures.</p><p>The <a href=""https://www.gov.uk/government/publications/alcohol-dependence-prevalence-in-england"">Prevalence, trends and amenability to treatment report</a> published by the University of Sheffield explains how alcohol prevalence estimates were calculated.</p><p>Data were collected from 1st April to 31st March each year.</p> Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,England,complete,False,False,True
9-2-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,False
11-5-2,,False,,notstarted,False,False,
16-1-1,"The Homicide Index is continually updated with revised information from the police as investigations continue and as cases are heard by the courts. For further information, see the <a href= ""https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/methodologies/userguidetocrimestatisticsforenglandandwales"">user guide for the Homicide Index</a>.  Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,England and Wales,complete,False,False,True
4-2-2,"This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,England,complete,True,False,True
8-7-1,,False,,notstarted,False,False,
2-5-2,"This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has not been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,False
17-18-1,"The data reported here represent a snapshot from a particular year. For the current reporting status, refer to the 'Disaggregation status' tab of the [reporting status](https://sdgdata.gov.uk/reporting-status/) section within the National Reporting Platform. Note that the reported percentages there are calculated out of the total 247 indicators, rather than the 53 indicators that explicitly require disaggregation in the title. Therefore, the methodology is slightly different and although the reported counts are the same, the percentage will differ. Within this methodology, indicators that do not require disaggregation in the title are classed as ""out of scope"".     This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,False
8-8-2,,False,,notstarted,False,False,
8-a-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,
10-c-1,"See the <a href=""https://remittanceprices.worldbank.org/en/methodology"">Remittance Prices Worldwide methodology</a> for more information.  Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,
11-3-2,,False,,notstarted,False,False,
7-2-1,"In the UK there are two measures of renewable energy consumption, an Environmental Accounts figure produced by the Office for National Statistics (ONS) and a Digest of UK Energy Statistics (DUKES) figure produced by the Department for Business, Energy and Industrial Strategy (BEIS). The DUKES statistics are used to monitor the UK’s progress against the EU Renewable Energy Directive. The ONS National Accounts statistics are compliant with the definitions of the UN System of Environmental Economic Accounting. The ONS statistic is calculated on a residency basis, whereas the DUKES figure is calculated on a territory basis. This means the ONS statistic uses data relating to UK residents and UK-registered businesses, regardless of whether they are based in the UK or overseas. This makes the ONS statistic comparable to other National Account statistics, for example, GDP, as well as other SDG indicators, for example, 7.3.1 Energy intensity measured in terms of primary energy and GDP. For this reason, the ONS figures have been displayed here. The [DUKES publication](https://www.gov.uk/government/collections/digest-of-uk-energy-statistics- dukes) is annually produced by BEIS. The ONS also produce a [bridging table](https://www.ons.gov.uk/economy/environmentalaccounts/datasets/ukenvironmentalaccountsenergybridging) to aid with comparisons between the two measures. Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,
12-6-1,,False,,notstarted,False,False,
14-b-1,Data follows the UN specification for this indicator.,True,,complete,False,False,
10-2-1,"For further information please see   <a href=""http://ec.europa.eu/eurostat/cache/metadata/en/ilc_esms.htm"">eurostat Income and living conditions</a> Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,False
